Origin Airport,Origin City,Origin State,Destination Airport,Destination City,Destination State,Total Time (Minutes),Hours,Minutes,Distance (Miles)
BLV,"Belleville, IL",IL,PGD,"Punta Gorda, FL",FL,140,2,20,921
BMI,"Bloomington/Normal, IL",IL,DFW,"Dallas/Fort Worth, TX",TX,131,2,11,690
BNA,"Nashville, TN",TN,ATL,"Atlanta, GA",GA,56,0,56,214
BOI,"Boise, ID",ID,ATL,"Atlanta, GA",GA,232,3,52,1838
BOS,"Boston, MA",MA,ATL,"Atlanta, GA",GA,168,2,48,946
BPT,"Beaumont/Port Arthur, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,69,1,9,270
BQN,"Aguadilla, PR",PR,EWR,"Newark, NJ",NJ,248,4,8,1585
BRD,"Brainerd, MN",MN,MSP,"Minneapolis, MN",MN,39,0,39,114
BRO,"Brownsville, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,85,1,25,482
BTM,"Butte, MT",MT,SLC,"Salt Lake City, UT",UT,80,1,20,358
BTR,"Baton Rouge, LA",LA,CLT,"Charlotte, NC",NC,103,1,43,675
BTV,"Burlington, VT",VT,ATL,"Atlanta, GA",GA,184,3,4,961
BUF,"Buffalo, NY",NY,ATL,"Atlanta, GA",GA,121,2,1,712
BUR,"Burbank, CA",CA,ABQ,"Albuquerque, NM",NM,102,1,42,672
BWI,"Baltimore, MD",MD,ABQ,"Albuquerque, NM",NM,270,4,30,1670
BZN,"Bozeman, MT",MT,ATL,"Atlanta, GA",GA,195,3,15,1640
CAE,"Columbia, SC",SC,CLT,"Charlotte, NC",NC,55,0,55,88
CAK,"Akron, OH",OH,CLT,"Charlotte, NC",NC,90,1,30,394
CDC,"Cedar City, UT",UT,SLC,"Salt Lake City, UT",UT,62,1,2,221
CHA,"Chattanooga, TN",TN,CLT,"Charlotte, NC",NC,83,1,23,241
CHO,"Charlottesville, VA",VA,ORD,"Chicago, IL",IL,120,2,0,566
CHS,"Charleston, SC",SC,ATL,"Atlanta, GA",GA,59,0,59,259
CID,"Cedar Rapids/Iowa City, IA",IA,ATL,"Atlanta, GA",GA,126,2,6,694
CIU,"Sault Ste. Marie, MI",MI,MSP,"Minneapolis, MN",MN,108,1,48,435
CLE,"Cleveland, OH",OH,ATL,"Atlanta, GA",GA,103,1,43,554
CLL,"College Station/Bryan, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,64,1,4,164
CLT,"Charlotte, NC",NC,ABE,"Allentown/Bethlehem/Easton, PA",PA,91,1,31,481
CMH,"Columbus, OH",OH,ATL,"Atlanta, GA",GA,81,1,21,447
CMI,"Champaign/Urbana, IL",IL,DFW,"Dallas/Fort Worth, TX",TX,136,2,16,693
CMX,"Hancock/Houghton, MI",MI,ORD,"Chicago, IL",IL,109,1,49,360
COD,"Cody, WY",WY,DEN,"Denver, CO",CO,83,1,23,391
COS,"Colorado Springs, CO",CO,ATL,"Atlanta, GA",GA,147,2,27,1184
COU,"Columbia, MO",MO,DFW,"Dallas/Fort Worth, TX",TX,106,1,46,490
CPR,"Casper, WY",WY,DEN,"Denver, CO",CO,63,1,3,230
CRP,"Corpus Christi, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,72,1,12,354
CRW,"Charleston/Dunbar, WV",WV,ATL,"Atlanta, GA",GA,83,1,23,363
CVG,"Cincinnati, OH",KY,ATL,"Atlanta, GA",GA,92,1,32,373
CYS,"Cheyenne, WY",WY,DEN,"Denver, CO",CO,44,0,44,90
DAB,"Daytona Beach, FL",FL,ATL,"Atlanta, GA",GA,73,1,13,366
DAL,"Dallas, TX",TX,ABQ,"Albuquerque, NM",NM,103,1,43,580
DAY,"Dayton, OH",OH,CLT,"Charlotte, NC",NC,95,1,35,370
DCA,"Washington, DC",VA,ALB,"Albany, NY",NY,76,1,16,318
DDC,"Dodge City, KS",KS,DEN,"Denver, CO",CO,85,1,25,292
DEC,"Decatur, IL",IL,ORD,"Chicago, IL",IL,56,0,56,156
DEN,"Denver, CO",CO,ABQ,"Albuquerque, NM",NM,66,1,6,349
DFW,"Dallas/Fort Worth, TX",TX,ABI,"Abilene, TX",TX,50,0,50,158
DIK,"Dickinson, ND",ND,DEN,"Denver, CO",CO,132,2,12,488
DLH,"Duluth, MN",MN,MSP,"Minneapolis, MN",MN,77,1,17,144
DRO,"Durango, CO",CO,DEN,"Denver, CO",CO,62,1,2,251
DSM,"Des Moines, IA",IA,ATL,"Atlanta, GA",GA,107,1,47,743
DTW,"Detroit, MI",MI,ALB,"Albany, NY",NY,115,1,55,489
DVL,"Devils Lake, ND",ND,DEN,"Denver, CO",CO,117,1,57,638
EAR,"Kearney, NE",NE,DEN,"Denver, CO",CO,79,1,19,305
EAU,"Eau Claire, WI",WI,ORD,"Chicago, IL",IL,89,1,29,269
ECP,"Panama City, FL",FL,ATL,"Atlanta, GA",GA,56,0,56,240
EGE,"Eagle, CO",CO,ATL,"Atlanta, GA",GA,163,2,43,1312
EKO,"Elko, NV",NV,SLC,"Salt Lake City, UT",UT,81,1,21,200
ELM,"Elmira/Corning, NY",NY,DTW,"Detroit, MI",MI,80,1,20,332
ELP,"El Paso, TX",TX,ATL,"Atlanta, GA",GA,165,2,45,1282
ESC,"Escanaba, MI",MI,DTW,"Detroit, MI",MI,105,1,45,306
EUG,"Eugene, OR",OR,DEN,"Denver, CO",CO,129,2,9,996
EVV,"Evansville, IN",IN,ATL,"Atlanta, GA",GA,80,1,20,350
EWR,"Newark, NJ",NJ,ATL,"Atlanta, GA",GA,138,2,18,746
EYW,"Key West, FL",FL,ATL,"Atlanta, GA",GA,113,1,53,646
FAI,"Fairbanks, AK",AK,ANC,"Anchorage, AK",AK,52,0,52,261
FAR,"Fargo, ND",ND,AZA,"Phoenix, AZ",AZ,187,3,7,1220
FAT,"Fresno, CA",CA,ATL,"Atlanta, GA",GA,247,4,7,1997
FAY,"Fayetteville, NC",NC,CLT,"Charlotte, NC",NC,62,1,2,118
FCA,"Kalispell, MT",MT,DEN,"Denver, CO",CO,104,1,44,752
FLG,"Flagstaff, AZ",AZ,DFW,"Dallas/Fort Worth, TX",TX,146,2,26,853
FLL,"Fort Lauderdale, FL",FL,ACY,"Atlantic City, NJ",NJ,141,2,21,977
FNT,"Flint, MI",MI,ORD,"Chicago, IL",IL,91,1,31,223
FOD,"Fort Dodge, IA",IA,ORD,"Chicago, IL",IL,84,1,24,325
FSD,"Sioux Falls, SD",SD,ATL,"Atlanta, GA",GA,133,2,13,954
FSM,"Fort Smith, AR",AR,DFW,"Dallas/Fort Worth, TX",TX,71,1,11,227
FWA,"Fort Wayne, IN",IN,ATL,"Atlanta, GA",GA,99,1,39,508
GCC,"Gillette, WY",WY,DEN,"Denver, CO",CO,85,1,25,313
GCK,"Garden City, KS",KS,DFW,"Dallas/Fort Worth, TX",TX,92,1,32,404
GEG,"Spokane, WA",WA,ATL,"Atlanta, GA",GA,249,4,9,1969
GGG,"Longview, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,52,0,52,140
GJT,"Grand Junction, CO",CO,DEN,"Denver, CO",CO,60,1,0,212
GNV,"Gainesville, FL",FL,ATL,"Atlanta, GA",GA,66,1,6,300
GPT,"Gulfport/Biloxi, MS",MS,ATL,"Atlanta, GA",GA,80,1,20,352
GRB,"Green Bay, WI",WI,ATL,"Atlanta, GA",GA,147,2,27,774
GRI,"Grand Island, NE",NE,AZA,"Phoenix, AZ",AZ,159,2,39,905
GRK,"Killeen, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,51,0,51,134
GRR,"Grand Rapids, MI",MI,ATL,"Atlanta, GA",GA,134,2,14,640
GSO,"Greensboro/High Point, NC",NC,ATL,"Atlanta, GA",GA,66,1,6,306
GSP,"Greer, SC",SC,ATL,"Atlanta, GA",GA,47,0,47,153
GTF,"Great Falls, MT",MT,DEN,"Denver, CO",CO,135,2,15,623
GUC,"Gunnison, CO",CO,DEN,"Denver, CO",CO,55,0,55,152
GUM,"Guam, TT",TT,HNL,"Honolulu, HI",HI,422,7,2,3801
HDN,"Hayden, CO",CO,ATL,"Atlanta, GA",GA,170,2,50,1340
HHH,"Hilton Head, SC",SC,CLT,"Charlotte, NC",NC,56,0,56,207
HIB,"Hibbing, MN",MN,MSP,"Minneapolis, MN",MN,64,1,4,174
HLN,"Helena, MT",MT,DEN,"Denver, CO",CO,100,1,40,594
HNL,"Honolulu, HI",HI,ANC,"Anchorage, AK",AK,386,6,26,2777
HOB,"Hobbs, NM",NM,DEN,"Denver, CO",CO,120,2,0,501
HOU,"Houston, TX",TX,ABQ,"Albuquerque, NM",NM,131,2,11,759
HPN,"White Plains, NY",NY,ATL,"Atlanta, GA",GA,135,2,15,780
HRL,"Harlingen/San Benito, TX",TX,AUS,"Austin, TX",TX,57,0,57,273
HSV,"Huntsville, AL",AL,ATL,"Atlanta, GA",GA,56,0,56,151
HYS,"Hays, KS",KS,DEN,"Denver, CO",CO,92,1,32,298
IAG,"Niagara Falls, NY",NY,PGD,"Punta Gorda, FL",FL,237,3,57,1129
ICT,"Wichita, KS",KS,ATL,"Atlanta, GA",GA,116,1,56,782
