Name,Tm,G,R,H,2B,3B,HR,RBI,SO,SB,BA,OBP,OPS
Donovan Solano,Seattle,7,0,4,0,0,0,3,3,0,0.2,0.273,0.473
Jorge Soler,Los Angeles,1,0,1,1,0,0,2,1,0,0.5,0.75,1.75
Edmundo Sosa,Philadelphia,2,0,0,0,0,0,0,3,0,0,0,0
Lenyn Sosa,Chicago,5,2,7,1,0,2,6,2,0,0.389,0.389,1.167
Juan Soto,New York,5,5,6,0,0,3,4,6,0,0.353,0.421,1.303
George Springer,Toronto,6,4,9,0,0,2,11,0,2,0.429,0.52,1.234
Jacob Stallings,Baltimore,1,0,0,0,0,0,0,1,0,0,0,0
Giancarlo Stanton,New York,5,1,3,0,0,0,3,6,0,0.167,0.318,0.485
Spencer Steer,Cincinnati,6,4,7,0,0,3,6,5,0,0.35,0.381,1.181
Tyler Stephenson,Cincinnati,4,0,1,1,0,0,1,6,0,0.077,0.188,0.341
Trevor Story,Boston,6,3,6,2,0,1,7,5,2,0.316,0.381,0.96
Bryson Stott,Philadelphia,6,4,5,0,0,0,1,4,1,0.25,0.318,0.568
Kyle Stowers,Miami,6,5,9,4,0,3,9,8,0,0.429,0.538,1.586
Myles Straw,Toronto,6,4,3,0,0,0,1,4,1,0.188,0.263,0.451
Eugenio Suárez,Arizona,5,3,6,1,0,1,2,7,0,0.3,0.333,0.833
Seiya Suzuki,Chicago,6,3,5,0,1,2,3,6,0,0.208,0.269,0.811
Dansby Swanson,Chicago,6,4,8,2,1,0,1,4,0,0.348,0.423,0.945
Fernando Tatis Jr.,San Diego,5,1,3,0,0,0,0,2,2,0.167,0.286,0.452
Mike Tauchman,Chicago,4,1,6,1,0,0,0,5,0,0.353,0.353,0.765
Tim Tawa,Arizona,3,0,0,0,0,0,0,2,0,0,0,0
Michael A. Taylor,Chicago,5,1,4,1,0,0,0,5,0,0.267,0.313,0.646
Tyrone Taylor,New York,5,0,1,1,0,0,1,3,0,0.111,0.1,0.322
Kyle Teel,Chicago,4,3,7,2,0,0,3,2,0,0.467,0.5,1.1
Matt Thaiss,Tampa Bay,3,0,1,0,1,0,2,3,0,0.111,0.111,0.444
Alek Thomas,Arizona,6,4,6,1,0,1,2,7,0,0.286,0.304,0.781
Colby Thomas,Athletics,2,1,1,1,0,0,0,2,0,0.2,0.2,0.6
Lane Thomas,Cleveland,6,3,3,1,0,1,1,9,1,0.158,0.304,0.673
Michael Toglia,Colorado,6,0,3,0,0,0,0,11,0,0.125,0.125,0.25
Tyler Tolbert,Kansas City,2,0,0,0,0,0,0,0,0,0,0.5,0.5
Spencer Torkelson,Detroit,5,3,6,1,0,1,1,4,0,0.316,0.381,0.907
Abraham Toro,Boston,6,4,3,0,0,0,3,2,1,0.214,0.4,0.614
Luis Torrens,New York,3,1,3,0,0,1,1,3,0,0.273,0.273,0.818
Gleyber Torres,Detroit,5,4,6,1,0,2,5,5,0,0.316,0.381,1.065
Taylor Trammell,Houston,4,0,0,0,0,0,0,3,0,0,0.25,0.25
Jose Trevino,Cincinnati,3,0,1,0,0,0,0,1,0,0.125,0.125,0.25
Jared Triolo,Pittsburgh,3,1,1,0,0,0,1,6,0,0.083,0.083,0.167
Chadwick Tromp,Baltimore,3,1,2,0,0,1,1,0,0,0.25,0.25,0.875
